Location,Date of Accident,Time of Accident,Accident Severity,Collision Type,Cause of Accident,Number of Vehicles,Vehicle Types,Driver Age Group,Number of Fatalities,Number of Injuries,Property Damage Level
Bambalapitiya Junction,2024-02-13,11:37,Serious Injury,Motorcycle Collision,Reckless Driving,2,Motorcycle; Bus,18-25,0,4,Low
Sea Street Kotahena,2022-07-15,16:34,Minor Injury,Motorcycle Collision,Unsafe Lane Change,2,Motorcycle; Bicycle,26-35,0,3,Low
Union Place Slave Island,2024-04-18,17:18,Serious Injury,Single Vehicle Crash,Driver Fatigue,1,Three Wheeler,36-45,0,5,Moderate
Darley Road Cinnamon Gardens,2025-02-01,11:15,Minor Injury,Motorcycle Collision,Driver Negligence,2,Motorcycle; Van,18-25,0,2,High
Thurstan Road Colombo 03,2025-03-03,07:13,Minor Injury,Side-impact Collision,Distracted Driving,3,Car; Motorcycle; Three Wheeler,56+,0,2,High
Pettah Clock Tower Area,2023-07-25,23:54,Minor Injury,Pedestrian Collision,Driver Fatigue,1,Three Wheeler,46-55,0,2,Moderate
Armour Street Junction,2025-08-14,18:56,Minor Injury,Side-impact Collision,Mechanical Failure,1,Lorry,36-45,0,4,Low
Pettah Clock Tower Area,2024-06-27,11:43,Minor Injury,Multi-vehicle Collision,Driver Fatigue,4,Three Wheeler; Bicycle; Motorcycle; Bus,26-35,0,3,High
Fort Railway Station Area,2022-06-03,12:20,Fatal,Pedestrian Collision,Driver Negligence,2,Motorcycle; Car,36-45,1,2,High
Havelock Road Havelock Town,2025-09-02,04:20,Minor Injury,Rear-end Collision,Driver Fatigue,1,Van,18-25,0,1,High
Maradana Junction,2024-07-12,07:08,Fatal,Side-impact Collision,Overspeeding,2,Three Wheeler; Motorcycle,18-25,1,2,High
Borella Junction,2025-12-27,09:46,Serious Injury,Motorcycle Collision,Distracted Driving,2,Motorcycle; Van,26-35,0,6,High
"Junction of Rajagiriya Flyover and Nawala Road, Rajagiriya",2022-07-17,08:06,Serious Injury,Motorcycle Collision,Driver Negligence,2,Motorcycle; Van,18-25,0,5,High
Kandy Road Kadawatha,2024-08-28,12:15,Minor Injury,Motorcycle Collision,Driver Negligence,2,Motorcycle; Bus,26-35,0,3,High
"Junction of Old Parliament Road and Polduwa Road, Kotte",2024-12-01,11:57,Minor Injury,Pedestrian Collision,Distracted Driving,1,Motorcycle,56+,0,2,Low
High Level Road Kirulapone,2023-08-15,16:28,Minor Injury,Head-on Collision,Mechanical Failure,3,Motorcycle; Three Wheeler; Van,46-55,0,1,Moderate
Maradana Junction,2022-05-24,06:22,Minor Injury,Rear-end Collision,Driver Negligence,2,Motorcycle; Bicycle,46-55,0,3,Moderate
Justice Akbar Mawatha Slave Island,2025-06-09,13:03,Minor Injury,Motorcycle Collision,Overspeeding,2,Motorcycle; Bicycle,26-35,0,3,Low
Union Place Slave Island,2025-04-20,07:59,Minor Injury,Motorcycle Collision,Driver Negligence,2,Motorcycle; Three Wheeler,46-55,0,2,High
Modara Junction,2025-12-06,12:19,Minor Injury,Side-impact Collision,Driver Negligence,1,Three Wheeler,56+,0,2,Low
Grandpass Junction,2024-11-19,17:13,Minor Injury,Pedestrian Collision,Reckless Driving,1,Motorcycle,26-35,0,1,Low
Armour Street Junction,2025-09-10,17:38,Minor Injury,Multi-vehicle Collision,Failure to Yield,3,Car; Motorcycle; Three Wheeler,46-55,0,3,Low
Borella Junction,2025-08-28,09:42,Minor Injury,Side-impact Collision,Reckless Driving,1,Bicycle,26-35,0,3,Moderate
Bauddhaloka Mawatha Cinnamon Gardens,2022-09-29,17:45,Minor Injury,Rear-end Collision,Distracted Driving,2,Motorcycle; Three Wheeler,36-45,0,1,Low
Borella Junction,2024-02-02,07:28,Minor Injury,Side-impact Collision,Drunk Driving,2,Motorcycle; Lorry,36-45,0,4,High
Modara Junction,2024-04-06,23:18,Minor Injury,Single Vehicle Crash,Driver Negligence,1,Motorcycle,26-35,0,1,High
Union Place Slave Island,2024-12-30,18:11,Minor Injury,Rear-end Collision,Mechanical Failure,2,Three Wheeler; Car,36-45,0,3,Low
Modara Junction,2024-12-19,21:11,Minor Injury,Motorcycle Collision,Poor Visibility,2,Motorcycle; Lorry,26-35,0,2,Moderate
Maradana Junction,2022-03-10,15:08,Minor Injury,Motorcycle Collision,Poor Visibility,2,Motorcycle; Three Wheeler,36-45,0,2,Moderate
Duplication Junction,2023-12-25,22:28,Minor Injury,Side-impact Collision,Failure to Yield,2,Motorcycle; Three Wheeler,26-35,0,2,Low
Angoda Junction,2024-04-01,08:00,Serious Injury,Side-impact Collision,Reckless Driving,4,Bicycle; Bus; Three Wheeler; Car,26-35,0,5,High
Fort Railway Station Area,2024-12-25,08:02,Fatal,Side-impact Collision,Distracted Driving,2,Car; Motorcycle,18-25,1,5,High
Armour Street Pettah,2025-09-29,22:16,Minor Injury,Motorcycle Collision,Distracted Driving,2,Motorcycle; Three Wheeler,26-35,0,3,Low
Pettah Clock Tower Area,2024-05-20,11:39,Minor Injury,Multi-vehicle Collision,Unsafe Lane Change,4,Motorcycle; Three Wheeler; Bicycle; Bus,36-45,0,1,Low
Maradana Junction,2025-03-02,11:00,Minor Injury,Multi-vehicle Collision,Failure to Yield,4,Bus; Motorcycle; Bicycle; Van,46-55,0,3,Low
Kelaniya Junction,2024-10-28,17:27,Serious Injury,Multi-vehicle Collision,Driver Negligence,3,Bicycle; Motorcycle; Bus,36-45,0,2,High
Kollupitiya Flyover Approach,2024-10-14,13:46,Minor Injury,Pedestrian Collision,Driver Negligence,2,Motorcycle; Car,26-35,0,2,Low
Liberty Plaza Area,2022-07-23,10:38,Fatal,Head-on Collision,Driver Negligence,4,Car; Motorcycle; Three Wheeler; Bicycle,36-45,2,7,High
Pamankada Junction,2024-04-04,19:10,Minor Injury,Multi-vehicle Collision,Failure to Yield,4,Three Wheeler; Van; Motorcycle; Car,36-45,0,3,Moderate
Kollupitiya Railway Station Area,2023-06-21,09:37,Minor Injury,Rear-end Collision,Distracted Driving,1,Three Wheeler,56+,0,4,Moderate
Modara Junction,2024-12-04,08:41,Minor Injury,Head-on Collision,Unsafe Lane Change,3,Three Wheeler; Motorcycle; Car,56+,0,1,Low
Borella Junction,2022-05-29,03:04,Minor Injury,Motorcycle Collision,Unsafe Lane Change,2,Motorcycle; Bicycle,56+,0,2,Moderate
Maradana Junction,2023-12-09,10:44,Minor Injury,Single Vehicle Crash,Reckless Driving,1,Motorcycle,56+,0,4,Low
Bambalapitiya Railway Station Area,2023-01-24,11:58,Minor Injury,Side-impact Collision,Overspeeding,1,Three Wheeler,26-35,0,2,Moderate
Union Place Slave Island,2025-11-16,06:52,Minor Injury,Motorcycle Collision,Driver Fatigue,1,Motorcycle,26-35,0,2,Moderate
Wellawatte Junction,2023-09-08,23:52,Minor Injury,Motorcycle Collision,Overspeeding,2,Motorcycle; Bus,26-35,0,1,Low
Messenger Street Pettah,2025-11-15,21:47,Serious Injury,Multi-vehicle Collision,Overspeeding,3,Van; Three Wheeler; Motorcycle,46-55,0,4,High
Bambalapitiya Junction,2023-05-16,19:13,Minor Injury,Multi-vehicle Collision,Driver Fatigue,3,Van; Three Wheeler; Bus,18-25,0,3,Low
Olcott Mawatha Pettah,2023-12-14,11:04,Minor Injury,Rear-end Collision,Driver Negligence,2,Motorcycle; Bicycle,36-45,0,1,Moderate
Sir Chittampalam A Gardiner Mawatha Fort,2025-01-05,14:02,Serious Injury,Multi-vehicle Collision,Reckless Driving,3,Bicycle; Motorcycle; Car,36-45,0,6,Low
Slave Island Junction,2022-08-28,12:27,Minor Injury,Motorcycle Collision,Distracted Driving,2,Motorcycle; Three Wheeler,18-25,0,2,Low
Maradana Junction,2025-04-25,07:04,Minor Injury,Rear-end Collision,Driver Negligence,1,Van,26-35,0,1,Low
Narahenpita Junction,2024-10-25,16:27,Fatal,Single Vehicle Crash,Overspeeding,1,Bicycle,18-25,1,3,Low
Darley Road Cinnamon Gardens,2024-08-27,06:48,Fatal,Side-impact Collision,Driver Fatigue,1,Motorcycle,46-55,1,5,High
"Junction of Darley Road and Norris Canal Road, Colombo 10",2025-01-21,08:55,Minor Injury,Side-impact Collision,Distracted Driving,2,Three Wheeler; Bus,18-25,0,4,Moderate
Colombo 07 Junction,2023-11-30,14:10,Minor Injury,Single Vehicle Crash,Reckless Driving,1,Motorcycle,36-45,0,1,Low
Pettah Clock Tower Area,2025-12-10,22:13,Serious Injury,Motorcycle Collision,Pedestrian Negligence,2,Motorcycle; Bus,26-35,0,2,High
"Junction of Galle Road and R A de Mel Mawatha, Colombo 03",2024-09-14,17:27,Minor Injury,Pedestrian Collision,Driver Negligence,1,Motorcycle,18-25,0,2,Low
Grandpass Junction,2022-03-10,09:00,Minor Injury,Pedestrian Collision,Overspeeding,2,Van; Three Wheeler,46-55,0,2,Moderate
Mutwal Road Mutwal,2025-01-10,06:56,Fatal,Multi-vehicle Collision,Distracted Driving,3,Motorcycle; Three Wheeler; Car,18-25,2,4,Moderate
Bambalapitiya Junction,2024-06-09,12:50,Serious Injury,Multi-vehicle Collision,Overspeeding,4,Car; Three Wheeler; Motorcycle; Bus,26-35,0,6,Moderate
Havelock Road Havelock Town,2024-11-25,08:01,Minor Injury,Multi-vehicle Collision,Failure to Yield,4,Van; Bus; Motorcycle; Three Wheeler,36-45,0,4,Low
Galle Road Wellawatte,2025-12-05,21:20,Minor Injury,Motorcycle Collision,Overspeeding,2,Motorcycle; Bicycle,36-45,0,2,Low
Pettah Market Area,2025-09-11,09:57,Minor Injury,Single Vehicle Crash,Driver Negligence,1,Motorcycle,26-35,0,2,Low
T B Jayah Mawatha Maradana,2024-09-05,04:39,Minor Injury,Pedestrian Collision,Distracted Driving,1,Motorcycle,46-55,0,1,Moderate
Messenger Street Pettah,2023-08-24,00:28,Minor Injury,Rear-end Collision,Overspeeding,3,Bicycle; Lorry; Motorcycle,26-35,0,4,Low
Bauddhaloka Mawatha Havelock Town,2024-03-20,19:27,Minor Injury,Rear-end Collision,Overspeeding,2,Lorry; Bicycle,36-45,0,4,Low
Marine Drive Kollupitiya,2023-11-05,09:10,Serious Injury,Pedestrian Collision,Overspeeding,2,Motorcycle; Three Wheeler,18-25,0,6,High
Panchikawatte,2025-11-12,21:18,Minor Injury,Rear-end Collision,Distracted Driving,2,Motorcycle; Three Wheeler,46-55,0,4,Moderate
Duplication Road Bambalapitiya,2025-06-17,21:05,Minor Injury,Pedestrian Collision,Unsafe Lane Change,1,Motorcycle,26-35,0,1,Moderate
T B Jayah Mawatha Maradana,2023-07-12,17:43,Fatal,Rear-end Collision,Reckless Driving,1,Motorcycle,36-45,1,5,High
Baseline Road Borella,2022-09-22,22:56,Serious Injury,Pedestrian Collision,Overspeeding,2,Three Wheeler; Bus,46-55,0,3,High
Bambalapitiya Junction,2024-05-09,16:56,Serious Injury,Rear-end Collision,Driver Negligence,1,Three Wheeler,18-25,0,3,High
Sir Chittampalam A Gardiner Mawatha Fort,2025-12-12,17:50,Minor Injury,Side-impact Collision,Distracted Driving,1,Three Wheeler,36-45,0,4,Moderate
Olcott Mawatha Pettah,2023-08-08,22:19,Serious Injury,Motorcycle Collision,Reckless Driving,2,Motorcycle; Bicycle,36-45,0,6,Moderate
Colombo 07 Junction,2023-02-07,12:23,Minor Injury,Motorcycle Collision,Reckless Driving,1,Motorcycle,18-25,0,1,Low
Borella Junction,2023-09-12,16:24,Minor Injury,Motorcycle Collision,Overspeeding,2,Motorcycle; Van,26-35,0,3,Moderate
Union Place Slave Island,2024-09-17,03:00,Serious Injury,Single Vehicle Crash,Overspeeding,1,Car,36-45,0,3,Moderate
Kotahena Junction,2022-01-25,19:16,Serious Injury,Motorcycle Collision,Driver Negligence,3,Motorcycle; Three Wheeler; Car,26-35,0,6,Moderate
Fort Railway Station Area,2023-07-20,22:57,Serious Injury,Rear-end Collision,Reckless Driving,1,Lorry,36-45,0,4,High
Pamankada Junction,2025-01-02,19:32,Serious Injury,Rear-end Collision,Driver Negligence,1,Bicycle,26-35,0,6,High
Maradana Junction,2022-04-09,14:30,Serious Injury,Motorcycle Collision,Overspeeding,2,Motorcycle; Bicycle,18-25,0,3,High
Havelock Road Havelock Town,2025-09-21,17:56,Serious Injury,Pedestrian Collision,Reckless Driving,2,Motorcycle; Three Wheeler,18-25,0,5,Moderate
Kotahena Junction,2023-09-28,03:36,Serious Injury,Motorcycle Collision,Reckless Driving,2,Motorcycle; Three Wheeler,18-25,0,3,High
"Junction of Sirimavo Bandaranaike Mawatha and Grandpass Road, Colombo 14",2024-08-20,19:55,Minor Injury,Single Vehicle Crash,Driver Fatigue,1,Three Wheeler,18-25,0,3,Low
Liberty Plaza Area,2025-03-18,23:43,Serious Injury,Single Vehicle Crash,Reckless Driving,1,Car,26-35,0,2,Low
Narahenpita Junction,2023-04-01,14:38,Minor Injury,Pedestrian Collision,Poor Visibility,1,Three Wheeler,46-55,0,2,Moderate
Dematagoda Junction,2025-01-13,15:28,Serious Injury,Multi-vehicle Collision,Driver Fatigue,4,Car; Van; Bicycle; Three Wheeler,56+,0,6,Moderate
Baseline Road Borella,2023-11-18,11:05,Serious Injury,Motorcycle Collision,Distracted Driving,3,Motorcycle; Bicycle; Three Wheeler,18-25,0,3,High
Rajagiriya Flyover,2023-07-18,22:50,Minor Injury,Rear-end Collision,Failure to Yield,2,Motorcycle; Car,36-45,0,1,Low
Sea Street Pettah,2023-12-28,07:11,Fatal,Multi-vehicle Collision,Reckless Driving,4,Bicycle; Three Wheeler; Van; Motorcycle,46-55,2,7,Low
Union Place Slave Island,2023-11-18,19:58,Serious Injury,Side-impact Collision,Distracted Driving,3,Bus; Car; Three Wheeler,26-35,0,6,High
Union Place Slave Island,2023-03-01,17:21,Fatal,Single Vehicle Crash,Overspeeding,1,Motorcycle,46-55,1,3,High
Pettah Clock Tower Area,2023-11-01,10:27,Serious Injury,Multi-vehicle Collision,Mechanical Failure,3,Car; Motorcycle; Three Wheeler,26-35,0,4,High
Malabe Junction,2025-08-09,09:58,Minor Injury,Side-impact Collision,Driver Negligence,4,Motorcycle; Lorry; Car; Three Wheeler,46-55,0,3,Low
"Junction of Kandy Road and Kiribathgoda Road, Kelaniya",2025-11-22,03:13,Minor Injury,Multi-vehicle Collision,Reckless Driving,3,Three Wheeler; Car; Bicycle,18-25,0,4,Low
Bauddhaloka Mawatha Cinnamon Gardens,2024-05-20,12:22,Minor Injury,Pedestrian Collision,Overspeeding,1,Three Wheeler,26-35,0,2,Low
Modara Junction,2024-03-28,03:16,Minor Injury,Rear-end Collision,Failure to Yield,2,Motorcycle; Lorry,18-25,0,4,Low
Kandy Road Kelaniya,2023-11-06,17:28,Minor Injury,Pedestrian Collision,Driver Negligence,1,Motorcycle,26-35,0,1,Low
Borella Junction,2025-10-14,18:42,Serious Injury,Motorcycle Collision,Unsafe Lane Change,3,Motorcycle; Lorry; Car,36-45,0,6,High
Dematagoda Junction,2025-12-27,12:58,Minor Injury,Motorcycle Collision,Reckless Driving,2,Motorcycle; Three Wheeler,46-55,0,3,Moderate
Sea Street Pettah,2023-10-04,19:19,Fatal,Rear-end Collision,Overspeeding,4,Three Wheeler; Motorcycle; Van; Car,26-35,1,7,High
Bauddhaloka Mawatha Cinnamon Gardens,2025-02-03,21:13,Minor Injury,Rear-end Collision,Driver Fatigue,2,Car; Three Wheeler,46-55,0,1,Low
Wellawatte Junction,2025-12-31,09:38,Minor Injury,Rear-end Collision,Overspeeding,2,Motorcycle; Van,36-45,0,2,Low
Narahenpita Junction,2025-06-03,14:19,Serious Injury,Motorcycle Collision,Driver Negligence,2,Motorcycle; Lorry,18-25,0,2,High
Grandpass Junction,2023-03-04,03:17,Minor Injury,Side-impact Collision,Overspeeding,1,Car,18-25,0,2,Low
Bauddhaloka Mawatha Havelock Town,2024-11-15,18:32,Minor Injury,Single Vehicle Crash,Unsafe Lane Change,1,Three Wheeler,46-55,0,4,Low
Union Place Slave Island,2023-11-21,13:03,Fatal,Multi-vehicle Collision,Driver Negligence,3,Van; Motorcycle; Car,26-35,1,7,Moderate
Kotahena Junction,2025-04-17,14:46,Fatal,Motorcycle Collision,Reckless Driving,3,Motorcycle; Van; Car,26-35,1,4,High
Fort Railway Station Area,2025-08-17,07:18,Serious Injury,Single Vehicle Crash,Unsafe Lane Change,1,Motorcycle,18-25,0,2,High
Olcott Mawatha Pettah,2023-07-19,20:56,Minor Injury,Rear-end Collision,Driver Negligence,3,Motorcycle; Bicycle; Bus,26-35,0,4,Moderate
Sir Chittampalam A Gardiner Mawatha Fort,2025-01-08,09:57,Serious Injury,Single Vehicle Crash,Driver Negligence,1,Three Wheeler,36-45,0,2,High
Armour Street Junction,2025-11-08,03:21,Minor Injury,Pedestrian Collision,Driver Negligence,1,Motorcycle,26-35,0,2,Moderate
Maradana Junction,2025-11-15,19:59,Minor Injury,Head-on Collision,Unsafe Lane Change,1,Car,36-45,0,1,High
Kotahena Junction,2024-07-19,17:24,Serious Injury,Rear-end Collision,Overspeeding,4,Three Wheeler; Bicycle; Motorcycle; Car,36-45,0,5,Moderate
D R Wijewardena Mawatha Dematagoda,2024-06-23,18:49,Serious Injury,Motorcycle Collision,Driver Negligence,2,Motorcycle; Van,36-45,0,3,High
Wellawatte Junction,2025-08-11,17:45,Serious Injury,Side-impact Collision,Overspeeding,1,Three Wheeler,18-25,0,6,High
Kochchikade Junction,2024-03-17,07:45,Serious Injury,Rear-end Collision,Overspeeding,2,Motorcycle; Three Wheeler,36-45,0,6,Low
Modara Junction,2024-07-18,14:43,Serious Injury,Rear-end Collision,Driver Negligence,1,Car,26-35,0,3,Moderate
Bauddhaloka Mawatha Havelock Town,2022-04-16,15:14,Fatal,Pedestrian Collision,Reckless Driving,2,Car; Three Wheeler,56+,1,4,High
Slave Island Junction,2023-05-27,08:44,Minor Injury,Multi-vehicle Collision,Reckless Driving,3,Three Wheeler; Bicycle; Motorcycle,18-25,0,2,Low
Darley Road Cinnamon Gardens,2025-05-07,14:24,Minor Injury,Single Vehicle Crash,Reckless Driving,1,Lorry,18-25,0,4,Moderate
Duplication Road Bambalapitiya,2023-08-16,23:39,Minor Injury,Rear-end Collision,Driver Fatigue,3,Three Wheeler; Motorcycle; Van,26-35,0,2,Moderate
Pettah Clock Tower Area,2023-07-30,17:06,Serious Injury,Single Vehicle Crash,Reckless Driving,1,Van,26-35,0,6,High
Sea Street Kotahena,2022-09-09,08:08,Minor Injury,Pedestrian Collision,Reckless Driving,2,Motorcycle; Three Wheeler,46-55,0,2,High
Bauddhaloka Mawatha Havelock Town,2024-01-23,19:41,Fatal,Motorcycle Collision,Overspeeding,3,Motorcycle; Car; Three Wheeler,18-25,1,5,Moderate
Kochchikade Junction,2025-04-23,00:59,Minor Injury,Side-impact Collision,Reckless Driving,2,Motorcycle; Lorry,56+,0,1,Low
Borella Junction,2024-06-05,19:57,Minor Injury,Rear-end Collision,Distracted Driving,2,Three Wheeler; Motorcycle,46-55,0,4,Low
Union Place Borella,2022-04-20,09:20,Minor Injury,Rear-end Collision,Driver Negligence,1,Three Wheeler,18-25,0,4,High
Darley Road Cinnamon Gardens,2025-01-01,16:30,Minor Injury,Rear-end Collision,Driver Fatigue,2,Three Wheeler; Van,46-55,0,1,Moderate
Narahenpita Junction,2023-12-22,05:59,Minor Injury,Multi-vehicle Collision,Driver Fatigue,4,Motorcycle; Car; Lorry; Bus,46-55,0,3,High
Messenger Street Pettah,2023-05-14,18:27,Fatal,Pedestrian Collision,Failure to Yield,2,Car; Three Wheeler,36-45,1,1,High
Bambalapitiya Junction,2025-11-30,18:24,Serious Injury,Rear-end Collision,Reckless Driving,1,Bicycle,56+,0,3,High
Kochchikade Junction,2023-01-23,10:29,Minor Injury,Single Vehicle Crash,Driver Negligence,1,Three Wheeler,26-35,0,3,High
Grandpass Junction,2023-02-21,14:22,Serious Injury,Multi-vehicle Collision,Overspeeding,4,Car; Motorcycle; Bus; Van,26-35,0,3,High
Dematagoda Junction,2023-02-26,21:30,Minor Injury,Pedestrian Collision,Reckless Driving,1,Motorcycle,26-35,0,1,Low
Kolonnawa Junction,2023-08-08,19:55,Minor Injury,Side-impact Collision,Poor Visibility,1,Three Wheeler,36-45,0,4,Low
Mattakkuliya Junction,2023-12-03,18:53,Minor Injury,Motorcycle Collision,Unsafe Lane Change,2,Motorcycle; Van,26-35,0,3,Moderate
Kollupitiya Railway Station Area,2024-08-18,19:17,Minor Injury,Side-impact Collision,Reckless Driving,2,Bicycle; Car,18-25,0,4,Low
Maradana Junction,2025-03-20,19:00,Serious Injury,Pedestrian Collision,Overspeeding,2,Motorcycle; Bus,18-25,0,5,Moderate
Justice Akbar Mawatha Slave Island,2024-03-07,08:34,Minor Injury,Rear-end Collision,Driver Negligence,1,Three Wheeler,56+,0,3,Low
D R Wijewardena Mawatha Fort,2025-12-24,08:34,Fatal,Multi-vehicle Collision,Overspeeding,3,Three Wheeler; Motorcycle; Lorry,18-25,1,5,Low
"Junction of Havelock Road and Dickman's Road, Colombo 05",2022-08-13,12:22,Minor Injury,Motorcycle Collision,Overspeeding,2,Motorcycle; Bicycle,18-25,0,2,Low
Union Place Borella,2024-08-21,22:57,Minor Injury,Side-impact Collision,Driver Negligence,1,Van,18-25,0,3,Low
Madampitiya Road,2022-02-22,23:57,Serious Injury,Side-impact Collision,Reckless Driving,1,Motorcycle,36-45,0,4,High
Havelock Road Havelock Town,2023-05-16,09:36,Minor Injury,Single Vehicle Crash,Driver Negligence,1,Motorcycle,18-25,0,3,Low
Viharamahadevi Park Entrance,2024-01-09,17:40,Minor Injury,Motorcycle Collision,Driver Negligence,1,Motorcycle,26-35,0,2,Moderate
Union Place Borella,2025-05-06,17:21,Serious Injury,Side-impact Collision,Reckless Driving,4,Car; Motorcycle; Three Wheeler; Bicycle,18-25,0,3,Moderate
Pettah Clock Tower Area,2022-07-23,15:50,Minor Injury,Side-impact Collision,Reckless Driving,2,Three Wheeler; Motorcycle,36-45,0,3,Low
Maradana Junction,2024-04-20,13:00,Minor Injury,Pedestrian Collision,Pedestrian Negligence,1,Motorcycle,18-25,0,1,Moderate
Grandpass Junction,2023-02-27,08:24,Minor Injury,Motorcycle Collision,Reckless Driving,2,Motorcycle; Car,56+,0,3,Moderate
Galle Road Fort,2023-11-21,08:43,Serious Injury,Single Vehicle Crash,Driver Negligence,1,Car,18-25,0,6,High
Havelock Town Junction,2024-05-19,10:24,Serious Injury,Pedestrian Collision,Distracted Driving,2,Motorcycle; Three Wheeler,26-35,0,3,High
Justice Akbar Mawatha Slave Island,2025-05-09,17:36,Minor Injury,Rear-end Collision,Overspeeding,2,Van; Three Wheeler,46-55,0,4,Low
Narahenpita Junction,2022-07-17,22:36,Fatal,Side-impact Collision,Reckless Driving,1,Car,26-35,1,4,High
Bauddhaloka Mawatha Cinnamon Gardens,2025-05-21,13:53,Minor Injury,Rear-end Collision,Unsafe Lane Change,2,Three Wheeler; Motorcycle,36-45,0,2,Low
Duplication Road Bambalapitiya,2024-09-14,09:40,Fatal,Multi-vehicle Collision,Reckless Driving,2,Van; Bicycle,46-55,1,6,High
Armour Street Pettah,2023-02-24,15:47,Minor Injury,Side-impact Collision,Distracted Driving,2,Three Wheeler; Motorcycle,18-25,0,3,High
Armour Street Junction,2022-05-08,06:31,Minor Injury,Side-impact Collision,Driver Negligence,2,Car; Motorcycle,56+,0,4,Moderate
Borella Junction,2023-02-15,12:02,Minor Injury,Rear-end Collision,Mechanical Failure,3,Three Wheeler; Car; Bicycle,36-45,0,4,Moderate
Union Place Borella,2023-08-03,16:43,Serious Injury,Rear-end Collision,Reckless Driving,1,Three Wheeler,26-35,0,3,High
High Level Road Kirulapone,2025-02-28,17:37,Minor Injury,Rear-end Collision,Driver Fatigue,3,Three Wheeler; Motorcycle; Car,18-25,0,4,Moderate
Armour Street Pettah,2025-11-07,10:23,Serious Injury,Side-impact Collision,Overspeeding,4,Car; Van; Motorcycle; Three Wheeler,26-35,0,5,High
Liberty Plaza Area,2024-03-30,14:52,Serious Injury,Side-impact Collision,Reckless Driving,1,Motorcycle,46-55,0,4,Moderate
Hulftsdorp Junction,2024-12-18,14:03,Minor Injury,Side-impact Collision,Unsafe Lane Change,2,Car; Three Wheeler,36-45,0,2,Low
High Level Road Kirulapone,2025-01-24,08:39,Minor Injury,Rear-end Collision,Distracted Driving,2,Motorcycle; Bus,18-25,0,3,Low
Ibbanwala Junction,2022-07-04,15:38,Serious Injury,Motorcycle Collision,Unsafe Lane Change,2,Motorcycle; Bus,18-25,0,3,Moderate
Borella Police Area,2025-06-24,17:55,Serious Injury,Single Vehicle Crash,Poor Visibility,1,Three Wheeler,36-45,0,2,Moderate
Kotahena Junction,2025-12-14,18:34,Minor Injury,Single Vehicle Crash,Driver Negligence,1,Bicycle,36-45,0,1,High
Slave Island Junction,2024-08-17,00:54,Serious Injury,Side-impact Collision,Driver Negligence,2,Motorcycle; Car,46-55,0,5,High
Borella Junction,2025-03-03,17:47,Minor Injury,Motorcycle Collision,Reckless Driving,2,Motorcycle; Bicycle,18-25,0,2,Moderate
Kynsey Road Colombo 08,2024-08-10,20:33,Serious Injury,Rear-end Collision,Poor Visibility,2,Bicycle; Three Wheeler,36-45,0,3,Moderate
Bambalapitiya Junction,2023-10-23,22:30,Minor Injury,Rear-end Collision,Reckless Driving,1,Motorcycle,18-25,0,2,Low
Bauddhaloka Mawatha Cinnamon Gardens,2025-12-04,09:48,Fatal,Head-on Collision,Poor Visibility,4,Three Wheeler; Lorry; Motorcycle; Van,18-25,2,5,Low
"Junction of Sri Jayawardenepura Mawatha and Jayanthi Mawatha, Battaramulla",2024-10-23,08:48,Minor Injury,Pedestrian Collision,Driver Negligence,2,Motorcycle; Lorry,36-45,0,1,Low
Armour Street Junction,2023-09-22,06:57,Fatal,Multi-vehicle Collision,Pedestrian Negligence,4,Van; Motorcycle; Three Wheeler; Bicycle,36-45,1,7,High
Dutugemunu Street Colombo 06,2023-06-25,16:25,Minor Injury,Motorcycle Collision,Distracted Driving,2,Motorcycle; Bicycle,26-35,0,2,Moderate
Armour Street Junction,2025-10-24,20:22,Minor Injury,Pedestrian Collision,Overspeeding,2,Motorcycle; Car,18-25,0,2,High
Fort Railway Station Area,2023-02-12,09:23,Minor Injury,Rear-end Collision,Reckless Driving,3,Three Wheeler; Motorcycle; Car,26-35,0,2,Low
Galle Road Fort,2025-08-14,11:15,Minor Injury,Side-impact Collision,Distracted Driving,1,Van,18-25,0,3,High
High Level Road Kirulapone,2025-07-21,09:12,Fatal,Motorcycle Collision,Reckless Driving,1,Motorcycle,56+,1,1,High
Bambalapitiya Junction,2025-01-14,09:31,Fatal,Rear-end Collision,Overspeeding,2,Three Wheeler; Bicycle,26-35,1,3,High
Sir Chittampalam A Gardiner Mawatha Fort,2024-09-27,07:28,Minor Injury,Head-on Collision,Overspeeding,2,Motorcycle; Van,26-35,0,4,Low
"No. 12 Second Cross Street, Pettah, Colombo 11",2023-12-26,08:24,Minor Injury,Motorcycle Collision,Driver Fatigue,3,Motorcycle; Three Wheeler; Lorry,26-35,0,1,Moderate
Union Place Borella,2025-11-21,20:21,Serious Injury,Rear-end Collision,Driver Negligence,2,Bus; Bicycle,26-35,0,5,High
Dematagoda Junction,2023-03-08,07:31,Serious Injury,Motorcycle Collision,Reckless Driving,2,Motorcycle; Bus,18-25,0,2,High
Bambalapitiya Junction,2025-09-24,14:32,Minor Injury,Multi-vehicle Collision,Failure to Yield,3,Bicycle; Three Wheeler; Motorcycle,26-35,0,4,High
Messenger Street Pettah,2023-03-23,18:48,Minor Injury,Motorcycle Collision,Failure to Yield,2,Motorcycle; Three Wheeler,46-55,0,2,Moderate
Armour Street Junction,2025-04-21,23:46,Fatal,Side-impact Collision,Overspeeding,1,Motorcycle,18-25,1,1,Moderate
