Location,Date of Accident,Time of Accident,Accident Severity,Collision Type,Cause of Accident,Number of Vehicles,Vehicle Types,Driver Age Group,Number of Fatalities,Number of Injuries,Property Damage Level,location_standardized,location_name,formatted_address,latitude,longitude,conditions,precip,visibility,humidity,cloudcover,sunrise,sunset,weather_condition_label,visibility_level
Mutwal Road Mutwal,2025-01-10,06:56,Fatal,Multi-vehicle Collision,Distracted Driving,3,Motorcycle; Three Wheeler; Car,18-25,2,4,Moderate,"Mutwal Road Mutwal, Colombo, Sri Lanka","Mutwal Road Mutwal, Colombo, Sri Lanka","Muthuwella Mawatha, Colombo, Sri Lanka",6.9640994,79.8649458,Partially cloudy,0.0,7.0,78.6,54.5,2025-01-10T06:25:50,2025-01-10T18:10:43,Partially Cloudy,Good
Bambalapitiya Junction,2024-06-09,12:50,Serious Injury,Multi-vehicle Collision,Overspeeding,4,Car; Three Wheeler; Motorcycle; Bus,26-35,0,6,Moderate,"Bambalapitiya Junction, Colombo, Sri Lanka","Bambalapitiya Junction, Colombo, Sri Lanka","Bambalapitiya, Colombo 00500, Sri Lanka",6.8894192,79.8575468,"Rain, Partially cloudy",0.053,9.1,84.9,79.0,2024-06-09T05:54:37,2024-06-09T18:25:31,Light Rain,Good
Havelock Road Havelock Town,2024-11-25,08:01,Minor Injury,Multi-vehicle Collision,Failure to Yield,4,Van; Bus; Motorcycle; Three Wheeler,36-45,0,4,Low,"Havelock Road Havelock Town, Colombo, Sri Lanka","Havelock Road Havelock Town, Colombo, Sri Lanka","Havelock Rd, Colombo 00500, Sri Lanka",6.8903417,79.8638234,"Rain, Overcast",0.012,6.1,92.9,99.8,2024-11-25T06:04:45,2024-11-25T17:50:45,Light Rain,Good
Galle Road Wellawatte,2025-12-05,21:20,Minor Injury,Motorcycle Collision,Overspeeding,2,Motorcycle; Bicycle,36-45,0,2,Low,"Galle Road Wellawatte, Colombo, Sri Lanka","Galle Road Wellawatte, Colombo, Sri Lanka","Galle Rd, Colombo, Sri Lanka",6.8755051,79.861039,"Rain, Partially cloudy",0.147,6.5,85.5,44.5,2025-12-05T06:09:10,2025-12-05T17:53:30,Light Rain,Good
Pettah Market Area,2025-09-11,09:57,Minor Injury,Single Vehicle Crash,Driver Negligence,1,Motorcycle,26-35,0,2,Low,"Pettah Market Area, Colombo, Sri Lanka","Pettah Market Area, Colombo, Sri Lanka","WVP3+VMM, Keyzer St, Colombo 01100, Sri Lanka",6.937201699999999,79.854187,Partially cloudy,0.02,7.2,70.5,27.8,2025-09-11T06:01:48,2025-09-11T18:12:51,Partially Cloudy,Good
T B Jayah Mawatha Maradana,2024-09-05,04:39,Minor Injury,Pedestrian Collision,Distracted Driving,1,Motorcycle,46-55,0,1,Moderate,"T B Jayah Mawatha Maradana, Colombo, Sri Lanka","T B Jayah Mawatha Maradana, Colombo, Sri Lanka","T. B. Jayah Mawatha, Colombo, Sri Lanka",6.9235871,79.8619082,"Rain, Partially cloudy",0.159,6.3,75.4,56.5,2024-09-05T06:02:42,2024-09-05T18:15:54,Light Rain,Good
Messenger Street Pettah,2023-08-24,00:28,Minor Injury,Rear-end Collision,Overspeeding,3,Bicycle; Lorry; Motorcycle,26-35,0,4,Low,"Messenger Street Pettah, Colombo, Sri Lanka","Messenger Street Pettah, Colombo, Sri Lanka","M. J. M. Lafeer Mawatha, Colombo, Sri Lanka",6.9411356,79.8629811,"Rain, Partially cloudy",0.063,8.2,76.6,51.3,2023-08-24T06:04:16,2023-08-24T18:22:05,Light Rain,Good
Bauddhaloka Mawatha Havelock Town,2024-03-20,19:27,Minor Injury,Rear-end Collision,Overspeeding,2,Lorry; Bicycle,36-45,0,4,Low,"Bauddhaloka Mawatha Havelock Town, Colombo, Sri Lanka","Bauddhaloka Mawatha Havelock Town, Colombo, Sri Lanka","Bauddhaloka Mawatha, Colombo, Sri Lanka",6.897011,79.8598172,Partially cloudy,0.004,7.1,74.0,42.8,2024-03-20T06:14:44,2024-03-20T18:21:30,Partially Cloudy,Good
Marine Drive Kollupitiya,2023-11-05,09:10,Serious Injury,Pedestrian Collision,Overspeeding,2,Motorcycle; Three Wheeler,18-25,0,6,High,"Marine Drive Kollupitiya, Colombo, Sri Lanka","Marine Drive Kollupitiya, Colombo, Sri Lanka","Marine Drive, Colombo, Sri Lanka",6.9061405,79.8497258,"Rain, Partially cloudy",0.663,7.2,86.8,56.4,2023-11-05T05:58:29,2023-11-05T17:49:55,Light Rain,Good
Panchikawatte,2025-11-12,21:18,Minor Injury,Rear-end Collision,Distracted Driving,2,Motorcycle; Three Wheeler,46-55,0,4,Moderate,"Panchikawatte, Colombo, Sri Lanka","Panchikawatte, Colombo, Sri Lanka","Panchikawatta, Colombo 01000, Sri Lanka",6.9309682,79.8639835,"Rain, Partially cloudy",0.365,7.0,80.0,33.7,2025-11-12T06:00:11,2025-11-12T17:49:25,Light Rain,Good
Duplication Road Bambalapitiya,2025-06-17,21:05,Minor Injury,Pedestrian Collision,Unsafe Lane Change,1,Motorcycle,26-35,0,1,Moderate,"Duplication Road Bambalapitiya, Colombo, Sri Lanka","Duplication Road Bambalapitiya, Colombo, Sri Lanka","450 E R. A. De Mel Mawatha, Colombo 00200, Sri Lanka",6.9024028,79.8545389,"Rain, Partially cloudy",0.014,7.1,81.1,20.5,2025-06-17T05:56:00,2025-06-17T18:27:23,Light Rain,Good
T B Jayah Mawatha Maradana,2023-07-12,17:43,Fatal,Rear-end Collision,Reckless Driving,1,Motorcycle,36-45,1,5,High,"T B Jayah Mawatha Maradana, Colombo, Sri Lanka","T B Jayah Mawatha Maradana, Colombo, Sri Lanka","T. B. Jayah Mawatha, Colombo, Sri Lanka",6.9235871,79.8619082,Partially cloudy,0.0,8.0,83.6,62.5,2023-07-12T06:01:26,2023-07-12T18:31:09,Partially Cloudy,Good
Baseline Road Borella,2022-09-22,22:56,Serious Injury,Pedestrian Collision,Overspeeding,2,Three Wheeler; Bus,46-55,0,3,High,"Baseline Road Borella, Colombo, Sri Lanka","Baseline Road Borella, Colombo, Sri Lanka","Baseline Rd, Colombo, Sri Lanka",6.919902,79.8776917,"Rain, Partially cloudy",0.016,8.4,79.3,24.9,2022-09-22T05:59:59,2022-09-22T18:06:59,Light Rain,Good
Bambalapitiya Junction,2024-05-09,16:56,Serious Injury,Rear-end Collision,Driver Negligence,1,Three Wheeler,18-25,0,3,High,"Bambalapitiya Junction, Colombo, Sri Lanka","Bambalapitiya Junction, Colombo, Sri Lanka","Bambalapitiya, Colombo 00500, Sri Lanka",6.8894192,79.8575468,"Rain, Partially cloudy",0.028,6.8,85.3,59.5,2024-05-09T05:54:54,2024-05-09T18:19:30,Light Rain,Good
Sir Chittampalam A Gardiner Mawatha Fort,2025-12-12,17:50,Minor Injury,Side-impact Collision,Distracted Driving,1,Three Wheeler,36-45,0,4,Moderate,"Sir Chittampalam A Gardiner Mawatha Fort, Colombo, Sri Lanka","Sir Chittampalam A Gardiner Mawatha Fort, Colombo, Sri Lanka","Sir Chittampalam A Gardiner Mawath, Colombo, Sri Lanka",6.9298377,79.8477933,"Rain, Partially cloudy",0.131,6.7,80.4,36.0,2025-12-12T06:12:39,2025-12-12T17:56:14,Light Rain,Good
Olcott Mawatha Pettah,2023-08-08,22:19,Serious Injury,Motorcycle Collision,Reckless Driving,2,Motorcycle; Bicycle,36-45,0,6,Moderate,"Olcott Mawatha Pettah, Colombo, Sri Lanka","Olcott Mawatha Pettah, Colombo, Sri Lanka","Olcott Mawatha, Colombo, Sri Lanka",6.9344449,79.8544929,Partially cloudy,0.0,8.2,75.6,53.4,2023-08-08T06:04:49,2023-08-08T18:27:58,Partially Cloudy,Good
Colombo 07 Junction,2023-02-07,12:23,Minor Injury,Motorcycle Collision,Reckless Driving,1,Motorcycle,18-25,0,1,Low,"Colombo 07 Junction, Colombo, Sri Lanka","Colombo 07 Junction, Colombo, Sri Lanka","Colombo 07, Colombo 00700, Sri Lanka",6.9066125,79.8596227,Partially cloudy,0.007,8.5,81.0,58.9,2023-02-07T06:29:01,2023-02-07T18:20:42,Partially Cloudy,Good
Borella Junction,2023-09-12,16:24,Minor Injury,Motorcycle Collision,Overspeeding,2,Motorcycle; Van,26-35,0,3,Moderate,"Borella Junction, Colombo, Sri Lanka","Borella Junction, Colombo, Sri Lanka","18 Dr NM Perera Mawatha Rd, Colombo 00800, Sri Lanka",6.9139525,79.878481,"Rain, Partially cloudy",0.913,8.1,84.8,67.7,2023-09-12T06:01:42,2023-09-12T18:12:34,Light Rain,Good
Union Place Slave Island,2024-09-17,03:00,Serious Injury,Single Vehicle Crash,Overspeeding,1,Car,36-45,0,3,Moderate,"Union Place Slave Island, Colombo, Sri Lanka","Union Place Slave Island, Colombo, Sri Lanka","Union Pl, Colombo, Sri Lanka",6.9203664,79.8578057,Partially cloudy,0.0,6.5,76.5,58.4,2024-09-17T06:00:45,2024-09-17T18:09:27,Partially Cloudy,Good
Kotahena Junction,2022-01-25,19:16,Serious Injury,Motorcycle Collision,Driver Negligence,3,Motorcycle; Three Wheeler; Car,26-35,0,6,Moderate,"Kotahena Junction, Colombo, Sri Lanka","Kotahena Junction, Colombo, Sri Lanka","Kotahena St, Colombo 01300, Sri Lanka",6.9494699,79.8626776,"Rain, Partially cloudy",1.12,6.5,84.2,23.0,2022-01-25T06:28:59,2022-01-25T18:17:00,Light Rain,Good
Fort Railway Station Area,2023-07-20,22:57,Serious Injury,Rear-end Collision,Reckless Driving,1,Lorry,36-45,0,4,High,"Fort Railway Station Area, Colombo, Sri Lanka","Fort Railway Station Area, Colombo, Sri Lanka","Fort Railway station, Colombo, Sri Lanka",6.9337011,79.85003019999999,"Rain, Partially cloudy",0.201,8.5,80.7,48.3,2023-07-20T06:02:57,2023-07-20T18:31:09,Light Rain,Good
Pamankada Junction,2025-01-02,19:32,Serious Injury,Rear-end Collision,Driver Negligence,1,Bicycle,26-35,0,6,High,"Pamankada Junction, Colombo, Sri Lanka","Pamankada Junction, Colombo, Sri Lanka","Pamankada Ln, Colombo, Sri Lanka",6.8756803,79.8676529,"Rain, Partially cloudy",0.053,5.6,80.5,77.0,2025-01-02T06:22:53,2025-01-02T18:06:41,Light Rain,Moderate
Maradana Junction,2022-04-09,14:30,Serious Injury,Motorcycle Collision,Overspeeding,2,Motorcycle; Bicycle,18-25,0,3,High,"Maradana Junction, Colombo, Sri Lanka","Maradana Junction, Colombo, Sri Lanka","Maradana Junction, Colombo 01000, Sri Lanka",6.928874,79.8637428,"Rain, Partially cloudy",0.203,7.7,91.1,31.8,2022-04-09T06:05:16,2022-04-09T18:19:28,Light Rain,Good
Havelock Road Havelock Town,2025-09-21,17:56,Serious Injury,Pedestrian Collision,Reckless Driving,2,Motorcycle; Three Wheeler,18-25,0,5,Moderate,"Havelock Road Havelock Town, Colombo, Sri Lanka","Havelock Road Havelock Town, Colombo, Sri Lanka","Havelock Rd, Colombo 00500, Sri Lanka",6.8903417,79.8638234,"Rain, Partially cloudy",0.2,7.1,76.5,32.2,2025-09-21T06:00:08,2025-09-21T18:07:25,Light Rain,Good
Kotahena Junction,2023-09-28,03:36,Serious Injury,Motorcycle Collision,Reckless Driving,2,Motorcycle; Three Wheeler,18-25,0,3,High,"Kotahena Junction, Colombo, Sri Lanka","Kotahena Junction, Colombo, Sri Lanka","Kotahena St, Colombo 01300, Sri Lanka",6.9494699,79.8626776,"Rain, Partially cloudy",1.588,7.9,88.2,74.2,2023-09-28T05:59:05,2023-09-28T18:03:55,Light Rain,Good
"Junction of Sirimavo Bandaranaike Mawatha and Grandpass Road, Colombo 14",2024-08-20,19:55,Minor Injury,Single Vehicle Crash,Driver Fatigue,1,Three Wheeler,18-25,0,3,Low,"Junction of Sirimavo Bandaranaike Mawatha and Grandpass Road, Colombo 14, Colombo, Sri Lanka","Junction of Sirimavo Bandaranaike Mawatha and Grandpass Road, Colombo 14, Colombo, Sri Lanka","14 Grandpass Rd, Colombo 01400, Sri Lanka",6.941933,79.8652595,"Rain, Partially cloudy",0.125,8.0,90.0,66.0,2024-08-20T06:04:32,2024-08-20T18:23:29,Light Rain,Good
Liberty Plaza Area,2025-03-18,23:43,Serious Injury,Single Vehicle Crash,Reckless Driving,1,Car,26-35,0,2,Low,"Liberty Plaza Area, Colombo, Sri Lanka","Liberty Plaza Area, Colombo, Sri Lanka","300 Srimath Anagarika Dharmapala Mawatha, Colombo 00300, Sri Lanka",6.9118996,79.85130869999999,Partially cloudy,0.0,7.3,73.4,21.7,2025-03-18T06:15:50,2025-03-18T18:21:45,Partially Cloudy,Good
Narahenpita Junction,2023-04-01,14:38,Minor Injury,Pedestrian Collision,Poor Visibility,1,Three Wheeler,46-55,0,2,Moderate,"Narahenpita Junction, Colombo, Sri Lanka","Narahenpita Junction, Colombo, Sri Lanka","Narahenpita, Colombo 00500, Sri Lanka",6.8899209,79.8826281,"Rain, Partially cloudy",0.021,8.0,79.4,52.0,2023-04-01T06:09:12,2023-04-01T18:20:16,Light Rain,Good
Dematagoda Junction,2025-01-13,15:28,Serious Injury,Multi-vehicle Collision,Driver Fatigue,4,Car; Van; Bicycle; Three Wheeler,56+,0,6,Moderate,"Dematagoda Junction, Colombo, Sri Lanka","Dematagoda Junction, Colombo, Sri Lanka","Dematagoda Pl, Colombo, Sri Lanka",6.9293231,79.8764195,Partially cloudy,0.002,6.6,79.4,51.7,2025-01-13T06:26:45,2025-01-13T18:12:08,Partially Cloudy,Good
Baseline Road Borella,2023-11-18,11:05,Serious Injury,Motorcycle Collision,Distracted Driving,3,Motorcycle; Bicycle; Three Wheeler,18-25,0,3,High,"Baseline Road Borella, Colombo, Sri Lanka","Baseline Road Borella, Colombo, Sri Lanka","Baseline Rd, Colombo, Sri Lanka",6.919902,79.8776917,"Rain, Partially cloudy",2.892,8.4,87.8,60.8,2023-11-18T06:01:49,2023-11-18T17:49:36,Light Rain,Good
Rajagiriya Flyover,2023-07-18,22:50,Minor Injury,Rear-end Collision,Failure to Yield,2,Motorcycle; Car,36-45,0,1,Low,"Rajagiriya Flyover, Colombo, Sri Lanka","Rajagiriya Flyover, Colombo, Sri Lanka","Rajagiriya Flyover, Sri Lanka",6.909007,79.8958705,Partially cloudy,0.0,8.2,79.0,46.8,2023-07-18T06:02:36,2023-07-18T18:31:13,Partially Cloudy,Good
Sea Street Pettah,2023-12-28,07:11,Fatal,Multi-vehicle Collision,Reckless Driving,4,Bicycle; Three Wheeler; Van; Motorcycle,46-55,2,7,Low,"Sea Street Pettah, Colombo, Sri Lanka","Sea Street Pettah, Colombo, Sri Lanka","Sea St, Colombo 01300, Sri Lanka",6.9418464,79.8542501,"Rain, Partially cloudy",0.399,8.0,85.5,72.5,2023-12-28T06:20:20,2023-12-28T18:03:42,Light Rain,Good
Union Place Slave Island,2023-11-18,19:58,Serious Injury,Side-impact Collision,Distracted Driving,3,Bus; Car; Three Wheeler,26-35,0,6,High,"Union Place Slave Island, Colombo, Sri Lanka","Union Place Slave Island, Colombo, Sri Lanka","Union Pl, Colombo, Sri Lanka",6.9203664,79.8578057,"Rain, Partially cloudy",2.892,8.4,87.8,60.8,2023-11-18T06:01:49,2023-11-18T17:49:36,Light Rain,Good
Union Place Slave Island,2023-03-01,17:21,Fatal,Single Vehicle Crash,Overspeeding,1,Motorcycle,46-55,1,3,High,"Union Place Slave Island, Colombo, Sri Lanka","Union Place Slave Island, Colombo, Sri Lanka","Union Pl, Colombo, Sri Lanka",6.9203664,79.8578057,Partially cloudy,0.0,8.1,74.8,51.1,2023-03-01T06:23:31,2023-03-01T18:22:49,Partially Cloudy,Good
Pettah Clock Tower Area,2023-11-01,10:27,Serious Injury,Multi-vehicle Collision,Mechanical Failure,3,Car; Motorcycle; Three Wheeler,26-35,0,4,High,"Pettah Clock Tower Area, Colombo, Sri Lanka","Pettah Clock Tower Area, Colombo, Sri Lanka","Pettah, Colombo, Sri Lanka",6.9367858,79.8525385,"Rain, Partially cloudy",1.291,7.2,87.3,55.2,2023-11-01T05:57:52,2023-11-01T17:50:34,Light Rain,Good
Malabe Junction,2025-08-09,09:58,Minor Injury,Side-impact Collision,Driver Negligence,4,Motorcycle; Lorry; Car; Three Wheeler,46-55,0,3,Low,"Malabe Junction, Colombo, Sri Lanka","Malabe Junction, Colombo, Sri Lanka","Malabe Junction, Malabe, Sri Lanka",6.903892799999999,79.955015,Partially cloudy,0.0,7.3,78.7,46.1,2025-08-09T06:04:53,2025-08-09T18:27:33,Partially Cloudy,Good
"Junction of Kandy Road and Kiribathgoda Road, Kelaniya",2025-11-22,03:13,Minor Injury,Multi-vehicle Collision,Reckless Driving,3,Three Wheeler; Car; Bicycle,18-25,0,4,Low,"Junction of Kandy Road and Kiribathgoda Road, Kelaniya, Colombo, Sri Lanka","Junction of Kandy Road and Kiribathgoda Road, Kelaniya, Colombo, Sri Lanka","Kiribathgoda-Sapugaskanda Rd & Kandy Rd, Kiribathgoda, Sri Lanka",6.9782616,79.9272684,"Rain, Partially cloudy",1.668,6.7,79.0,31.9,2025-11-22T06:03:28,2025-11-22T17:50:10,Light Rain,Good
Bauddhaloka Mawatha Cinnamon Gardens,2024-05-20,12:22,Minor Injury,Pedestrian Collision,Overspeeding,1,Three Wheeler,26-35,0,2,Low,"Bauddhaloka Mawatha Cinnamon Gardens, Colombo, Sri Lanka","Bauddhaloka Mawatha Cinnamon Gardens, Colombo, Sri Lanka","Bauddhaloka Mawatha, Colombo 00700, Sri Lanka",6.901932,79.8694402,"Rain, Partially cloudy",0.208,5.6,92.3,74.2,2024-05-20T05:53:33,2024-05-20T18:21:04,Light Rain,Moderate
Modara Junction,2024-03-28,03:16,Minor Injury,Rear-end Collision,Failure to Yield,2,Motorcycle; Lorry,18-25,0,4,Low,"Modara Junction, Colombo, Sri Lanka","Modara Junction, Colombo, Sri Lanka","Modara, Colombo, Sri Lanka",6.9669247,79.8711533,"Rain, Partially cloudy",0.265,13.9,81.8,77.7,2024-03-28T06:10:48,2024-03-28T18:20:38,Light Rain,Good
Kandy Road Kelaniya,2023-11-06,17:28,Minor Injury,Pedestrian Collision,Driver Negligence,1,Motorcycle,26-35,0,1,Low,"Kandy Road Kelaniya, Colombo, Sri Lanka","Kandy Road Kelaniya, Colombo, Sri Lanka","Kandy Rd, Colombo, Sri Lanka",6.9559402,79.8879039,"Rain, Partially cloudy",4.384,8.2,87.3,58.6,2023-11-06T05:58:40,2023-11-06T17:49:48,Light Rain,Good
Borella Junction,2025-10-14,18:42,Serious Injury,Motorcycle Collision,Unsafe Lane Change,3,Motorcycle; Lorry; Car,36-45,0,6,High,"Borella Junction, Colombo, Sri Lanka","Borella Junction, Colombo, Sri Lanka","18 Dr NM Perera Mawatha Rd, Colombo 00800, Sri Lanka",6.9139525,79.878481,"Rain, Partially cloudy",0.422,7.2,80.1,27.9,2025-10-14T05:57:19,2025-10-14T17:56:02,Light Rain,Good
Dematagoda Junction,2025-12-27,12:58,Minor Injury,Motorcycle Collision,Reckless Driving,2,Motorcycle; Three Wheeler,46-55,0,3,Moderate,"Dematagoda Junction, Colombo, Sri Lanka","Dematagoda Junction, Colombo, Sri Lanka","Dematagoda Pl, Colombo, Sri Lanka",6.9293231,79.8764195,Partially cloudy,0.0,7.1,67.0,27.0,2025-12-27T06:20:07,2025-12-27T18:03:28,Partially Cloudy,Good
Sea Street Pettah,2023-10-04,19:19,Fatal,Rear-end Collision,Overspeeding,4,Three Wheeler; Motorcycle; Van; Car,26-35,1,7,High,"Sea Street Pettah, Colombo, Sri Lanka","Sea Street Pettah, Colombo, Sri Lanka","Sea St, Colombo 01300, Sri Lanka",6.9418464,79.8542501,"Rain, Partially cloudy",6.919,6.7,92.3,78.5,2023-10-04T05:58:15,2023-10-04T18:00:50,Heavy Rain,Good
Bauddhaloka Mawatha Cinnamon Gardens,2025-02-03,21:13,Minor Injury,Rear-end Collision,Driver Fatigue,2,Car; Three Wheeler,46-55,0,1,Low,"Bauddhaloka Mawatha Cinnamon Gardens, Colombo, Sri Lanka","Bauddhaloka Mawatha Cinnamon Gardens, Colombo, Sri Lanka","Bauddhaloka Mawatha, Colombo 00700, Sri Lanka",6.901932,79.8694402,Clear,0.0,7.0,63.9,14.2,2025-02-03T06:29:17,2025-02-03T18:19:53,Clear,Good
Wellawatte Junction,2025-12-31,09:38,Minor Injury,Rear-end Collision,Overspeeding,2,Motorcycle; Van,36-45,0,2,Low,"Wellawatte Junction, Colombo, Sri Lanka","Wellawatte Junction, Colombo, Sri Lanka","Wellawatte, Colombo 00600, Sri Lanka",6.874092099999999,79.8604934,"Rain, Partially cloudy",0.172,4.6,77.8,33.3,2025-12-31T06:21:56,2025-12-31T18:05:32,Light Rain,Moderate
Narahenpita Junction,2025-06-03,14:19,Serious Injury,Motorcycle Collision,Driver Negligence,2,Motorcycle; Lorry,18-25,0,2,High,"Narahenpita Junction, Colombo, Sri Lanka","Narahenpita Junction, Colombo, Sri Lanka","Narahenpita, Colombo 00500, Sri Lanka",6.8899209,79.8826281,Partially cloudy,0.002,7.8,75.0,42.8,2025-06-03T05:53:52,2025-06-03T18:24:01,Partially Cloudy,Good
Grandpass Junction,2023-03-04,03:17,Minor Injury,Side-impact Collision,Overspeeding,1,Car,18-25,0,2,Low,"Grandpass Junction, Colombo, Sri Lanka","Grandpass Junction, Colombo, Sri Lanka","Grandpass Rd, Colombo, Sri Lanka",6.9432514,79.8685531,"Rain, Partially cloudy",0.036,8.2,76.5,49.0,2023-03-04T06:22:20,2023-03-04T18:22:45,Light Rain,Good
Bauddhaloka Mawatha Havelock Town,2024-11-15,18:32,Minor Injury,Single Vehicle Crash,Unsafe Lane Change,1,Three Wheeler,46-55,0,4,Low,"Bauddhaloka Mawatha Havelock Town, Colombo, Sri Lanka","Bauddhaloka Mawatha Havelock Town, Colombo, Sri Lanka","Bauddhaloka Mawatha, Colombo, Sri Lanka",6.897011,79.8598172,Partially cloudy,0.0,5.5,89.0,60.8,2024-11-15T06:01:07,2024-11-15T17:49:28,Partially Cloudy,Moderate
Union Place Slave Island,2023-11-21,13:03,Fatal,Multi-vehicle Collision,Driver Negligence,3,Van; Motorcycle; Car,26-35,1,7,Moderate,"Union Place Slave Island, Colombo, Sri Lanka","Union Place Slave Island, Colombo, Sri Lanka","Union Pl, Colombo, Sri Lanka",6.9203664,79.8578057,"Rain, Partially cloudy",2.921,8.4,85.2,56.2,2023-11-21T06:02:53,2023-11-21T17:49:56,Light Rain,Good
Kotahena Junction,2025-04-17,14:46,Fatal,Motorcycle Collision,Reckless Driving,3,Motorcycle; Van; Car,26-35,1,4,High,"Kotahena Junction, Colombo, Sri Lanka","Kotahena Junction, Colombo, Sri Lanka","Kotahena St, Colombo 01300, Sri Lanka",6.9494699,79.8626776,Partially cloudy,0.0,6.4,74.7,24.2,2025-04-17T06:01:43,2025-04-17T18:18:56,Partially Cloudy,Good
Fort Railway Station Area,2025-08-17,07:18,Serious Injury,Single Vehicle Crash,Unsafe Lane Change,1,Motorcycle,18-25,0,2,High,"Fort Railway Station Area, Colombo, Sri Lanka","Fort Railway Station Area, Colombo, Sri Lanka","Fort Railway station, Colombo, Sri Lanka",6.9337011,79.85003019999999,"Rain, Partially cloudy",0.082,7.0,84.0,64.6,2025-08-17T06:04:44,2025-08-17T18:24:48,Light Rain,Good
Olcott Mawatha Pettah,2023-07-19,20:56,Minor Injury,Rear-end Collision,Driver Negligence,3,Motorcycle; Bicycle; Bus,26-35,0,4,Moderate,"Olcott Mawatha Pettah, Colombo, Sri Lanka","Olcott Mawatha Pettah, Colombo, Sri Lanka","Olcott Mawatha, Colombo, Sri Lanka",6.9344449,79.8544929,"Rain, Partially cloudy",0.043,8.5,79.6,43.2,2023-07-19T06:02:47,2023-07-19T18:31:12,Light Rain,Good
Sir Chittampalam A Gardiner Mawatha Fort,2025-01-08,09:57,Serious Injury,Single Vehicle Crash,Driver Negligence,1,Three Wheeler,36-45,0,2,High,"Sir Chittampalam A Gardiner Mawatha Fort, Colombo, Sri Lanka","Sir Chittampalam A Gardiner Mawatha Fort, Colombo, Sri Lanka","Sir Chittampalam A Gardiner Mawath, Colombo, Sri Lanka",6.9298377,79.8477933,Partially cloudy,0.0,6.5,77.4,30.3,2025-01-08T06:25:10,2025-01-08T18:09:44,Partially Cloudy,Good
Armour Street Junction,2025-11-08,03:21,Minor Injury,Pedestrian Collision,Driver Negligence,1,Motorcycle,26-35,0,2,Moderate,"Armour Street Junction, Colombo, Sri Lanka","Armour Street Junction, Colombo, Sri Lanka","Armour St, Colombo, Sri Lanka",6.9424222,79.8637618,"Rain, Partially cloudy",0.088,7.1,81.3,39.6,2025-11-08T05:59:12,2025-11-08T17:49:35,Light Rain,Good
Maradana Junction,2025-11-15,19:59,Minor Injury,Head-on Collision,Unsafe Lane Change,1,Car,36-45,0,1,High,"Maradana Junction, Colombo, Sri Lanka","Maradana Junction, Colombo, Sri Lanka","Maradana Junction, Colombo 01000, Sri Lanka",6.928874,79.8637428,"Rain, Partially cloudy",0.024,5.9,75.4,20.8,2025-11-15T06:01:03,2025-11-15T17:49:28,Light Rain,Moderate
Kotahena Junction,2024-07-19,17:24,Serious Injury,Rear-end Collision,Overspeeding,4,Three Wheeler; Bicycle; Motorcycle; Car,36-45,0,5,Moderate,"Kotahena Junction, Colombo, Sri Lanka","Kotahena Junction, Colombo, Sri Lanka","Kotahena St, Colombo 01300, Sri Lanka",6.9494699,79.8626776,Partially cloudy,0.001,7.0,77.5,49.0,2024-07-19T06:02:55,2024-07-19T18:31:10,Partially Cloudy,Good
D R Wijewardena Mawatha Dematagoda,2024-06-23,18:49,Serious Injury,Motorcycle Collision,Driver Negligence,2,Motorcycle; Van,36-45,0,3,High,"D R Wijewardena Mawatha Dematagoda, Colombo, Sri Lanka","D R Wijewardena Mawatha Dematagoda, Colombo, Sri Lanka","McCallum Rd, Colombo, Sri Lanka",6.9315143,79.8545206,"Rain, Partially cloudy",0.257,7.1,75.3,66.7,2024-06-23T05:57:19,2024-06-23T18:28:44,Light Rain,Good
Wellawatte Junction,2025-08-11,17:45,Serious Injury,Side-impact Collision,Overspeeding,1,Three Wheeler,18-25,0,6,High,"Wellawatte Junction, Colombo, Sri Lanka","Wellawatte Junction, Colombo, Sri Lanka","Wellawatte, Colombo 00600, Sri Lanka",6.874092099999999,79.8604934,"Rain, Partially cloudy",0.112,7.6,77.6,40.4,2025-08-11T06:04:53,2025-08-11T18:26:56,Light Rain,Good
Kochchikade Junction,2024-03-17,07:45,Serious Injury,Rear-end Collision,Overspeeding,2,Motorcycle; Three Wheeler,36-45,0,6,Low,"Kochchikade Junction, Colombo, Sri Lanka","Kochchikade Junction, Colombo, Sri Lanka","Colombo, Sri Lanka",6.9270786,79.861243,Partially cloudy,0.0,5.9,75.9,32.7,2024-03-17T06:16:11,2024-03-17T18:21:49,Partially Cloudy,Moderate
Modara Junction,2024-07-18,14:43,Serious Injury,Rear-end Collision,Driver Negligence,1,Car,26-35,0,3,Moderate,"Modara Junction, Colombo, Sri Lanka","Modara Junction, Colombo, Sri Lanka","Modara, Colombo, Sri Lanka",6.9669247,79.8711533,"Rain, Partially cloudy",0.214,7.0,78.8,57.2,2024-07-18T06:02:45,2024-07-18T18:31:13,Light Rain,Good
Bauddhaloka Mawatha Havelock Town,2022-04-16,15:14,Fatal,Pedestrian Collision,Reckless Driving,2,Car; Three Wheeler,56+,1,4,High,"Bauddhaloka Mawatha Havelock Town, Colombo, Sri Lanka","Bauddhaloka Mawatha Havelock Town, Colombo, Sri Lanka","Bauddhaloka Mawatha, Colombo, Sri Lanka",6.897011,79.8598172,Clear,0.0,8.0,80.7,17.2,2022-04-16T06:02:12,2022-04-16T18:18:58,Clear,Good
