Location,Date of Accident,Time of Accident,Accident Severity,Collision Type,Cause of Accident,Number of Vehicles,Vehicle Types,Driver Age Group,Number of Fatalities,Number of Injuries,Property Damage Level,location_standardized,location_name,formatted_address,latitude,longitude
Armour Street Junction,2023-09-22,06:57,Fatal,Multi-vehicle Collision,Pedestrian Negligence,4,Van; Motorcycle; Three Wheeler; Bicycle,36-45,1,7,High,"Armour Street Junction, Colombo, Sri Lanka","Armour Street Junction, Colombo, Sri Lanka","Armour St, Colombo, Sri Lanka",6.9424222,79.8637618
Dutugemunu Street Colombo 06,2023-06-25,16:25,Minor Injury,Motorcycle Collision,Distracted Driving,2,Motorcycle; Bicycle,26-35,0,2,Moderate,"Dutugemunu Street Colombo 06, Colombo, Sri Lanka","Dutugemunu Street Colombo 06, Colombo, Sri Lanka","Dutugemunu St, Colombo, Sri Lanka",6.8713991,79.8760649
Armour Street Junction,2025-10-24,20:22,Minor Injury,Pedestrian Collision,Overspeeding,2,Motorcycle; Car,18-25,0,2,High,"Armour Street Junction, Colombo, Sri Lanka","Armour Street Junction, Colombo, Sri Lanka","Armour St, Colombo, Sri Lanka",6.9424222,79.8637618
Fort Railway Station Area,2023-02-12,09:23,Minor Injury,Rear-end Collision,Reckless Driving,3,Three Wheeler; Motorcycle; Car,26-35,0,2,Low,"Fort Railway Station Area, Colombo, Sri Lanka","Fort Railway Station Area, Colombo, Sri Lanka","Fort Railway station, Colombo, Sri Lanka",6.9337011,79.85003019999999
Galle Road Fort,2025-08-14,11:15,Minor Injury,Side-impact Collision,Distracted Driving,1,Van,18-25,0,3,High,"Galle Road Fort, Colombo, Sri Lanka","Galle Road Fort, Colombo, Sri Lanka","Galle Buck Rd, Colombo, Sri Lanka",6.9363912,79.8415204
High Level Road Kirulapone,2025-07-21,09:12,Fatal,Motorcycle Collision,Reckless Driving,1,Motorcycle,56+,1,1,High,"High Level Road Kirulapone, Colombo, Sri Lanka","High Level Road Kirulapone, Colombo, Sri Lanka","High Level Rd, Colombo, Sri Lanka",6.8775584,79.8793098
Bambalapitiya Junction,2025-01-14,09:31,Fatal,Rear-end Collision,Overspeeding,2,Three Wheeler; Bicycle,26-35,1,3,High,"Bambalapitiya Junction, Colombo, Sri Lanka","Bambalapitiya Junction, Colombo, Sri Lanka","Bambalapitiya, Colombo 00500, Sri Lanka",6.8894192,79.8575468
Sir Chittampalam A Gardiner Mawatha Fort,2024-09-27,07:28,Minor Injury,Head-on Collision,Overspeeding,2,Motorcycle; Van,26-35,0,4,Low,"Sir Chittampalam A Gardiner Mawatha Fort, Colombo, Sri Lanka","Sir Chittampalam A Gardiner Mawatha Fort, Colombo, Sri Lanka","Sir Chittampalam A Gardiner Mawath, Colombo, Sri Lanka",6.9298377,79.8477933
"No. 12 Second Cross Street, Pettah, Colombo 11",2023-12-26,08:24,Minor Injury,Motorcycle Collision,Driver Fatigue,3,Motorcycle; Three Wheeler; Lorry,26-35,0,1,Moderate,"No. 12 Second Cross Street, Pettah, Colombo 11, Colombo, Sri Lanka","No. 12 Second Cross Street, Pettah, Colombo 11, Colombo, Sri Lanka","12 2nd Cross Street, Colombo 01100, Sri Lanka",6.935164400000001,79.852597
Union Place Borella,2025-11-21,20:21,Serious Injury,Rear-end Collision,Driver Negligence,2,Bus; Bicycle,26-35,0,5,High,"Union Place Borella, Colombo, Sri Lanka","Union Place Borella, Colombo, Sri Lanka","Colombo 08, Colombo, Sri Lanka",6.9147836,79.8775951
Dematagoda Junction,2023-03-08,07:31,Serious Injury,Motorcycle Collision,Reckless Driving,2,Motorcycle; Bus,18-25,0,2,High,"Dematagoda Junction, Colombo, Sri Lanka","Dematagoda Junction, Colombo, Sri Lanka","Dematagoda Pl, Colombo, Sri Lanka",6.9293231,79.8764195
Bambalapitiya Junction,2025-09-24,14:32,Minor Injury,Multi-vehicle Collision,Failure to Yield,3,Bicycle; Three Wheeler; Motorcycle,26-35,0,4,High,"Bambalapitiya Junction, Colombo, Sri Lanka","Bambalapitiya Junction, Colombo, Sri Lanka","Bambalapitiya, Colombo 00500, Sri Lanka",6.8894192,79.8575468
Messenger Street Pettah,2023-03-23,18:48,Minor Injury,Motorcycle Collision,Failure to Yield,2,Motorcycle; Three Wheeler,46-55,0,2,Moderate,"Messenger Street Pettah, Colombo, Sri Lanka","Messenger Street Pettah, Colombo, Sri Lanka","M. J. M. Lafeer Mawatha, Colombo, Sri Lanka",6.9411356,79.8629811
Armour Street Junction,2025-04-21,23:46,Fatal,Side-impact Collision,Overspeeding,1,Motorcycle,18-25,1,1,Moderate,"Armour Street Junction, Colombo, Sri Lanka","Armour Street Junction, Colombo, Sri Lanka","Armour St, Colombo, Sri Lanka",6.9424222,79.8637618
Town Hall Area,2025-02-20,19:00,Minor Injury,Pedestrian Collision,Driver Negligence,1,Motorcycle,56+,0,2,Low,"Town Hall Area, Colombo, Sri Lanka","Town Hall Area, Colombo, Sri Lanka","Town Hall, Colombo 01000, Sri Lanka",6.9158502,79.8637861
"No. 12 Gregory's Road, Colombo 07",2025-08-09,12:28,Minor Injury,Rear-end Collision,Overspeeding,2,Three Wheeler; Car,18-25,0,2,Low,"No. 12 Gregory's Road, Colombo 07, Colombo, Sri Lanka","No. 12 Gregory's Road, Colombo 07, Colombo, Sri Lanka","12A Gregory's Ave, Colombo 00700, Sri Lanka",6.9093854,79.8681264
Havelock Town Junction,2024-11-01,22:18,Serious Injury,Multi-vehicle Collision,Reckless Driving,2,Car; Van,46-55,0,4,Low,"Havelock Town Junction, Colombo, Sri Lanka","Havelock Town Junction, Colombo, Sri Lanka","Havelock Town, Colombo, Sri Lanka",6.886651899999999,79.8646835
Modara Junction,2025-02-14,23:19,Minor Injury,Single Vehicle Crash,Driver Negligence,1,Motorcycle,46-55,0,1,Moderate,"Modara Junction, Colombo, Sri Lanka","Modara Junction, Colombo, Sri Lanka","Modara, Colombo, Sri Lanka",6.9669247,79.8711533
Galle Road Wellawatte,2025-07-18,13:28,Minor Injury,Motorcycle Collision,Overspeeding,2,Motorcycle; Three Wheeler,36-45,0,3,High,"Galle Road Wellawatte, Colombo, Sri Lanka","Galle Road Wellawatte, Colombo, Sri Lanka","Galle Rd, Colombo, Sri Lanka",6.8755051,79.861039
Maradana Junction,2024-01-02,07:24,Serious Injury,Motorcycle Collision,Overspeeding,4,Motorcycle; Bicycle; Car; Bus,46-55,0,3,Moderate,"Maradana Junction, Colombo, Sri Lanka","Maradana Junction, Colombo, Sri Lanka","Maradana Junction, Colombo 01000, Sri Lanka",6.928874,79.8637428
Manning Market Area,2023-10-17,13:41,Fatal,Motorcycle Collision,Overspeeding,2,Motorcycle; Bicycle,26-35,1,4,High,"Manning Market Area, Colombo, Sri Lanka","Manning Market Area, Colombo, Sri Lanka","Manning Market, Colombo, Sri Lanka",6.934375999999999,79.853132
Borella Junction,2022-11-23,06:59,Minor Injury,Side-impact Collision,Driver Negligence,2,Three Wheeler; Bicycle,26-35,0,4,Low,"Borella Junction, Colombo, Sri Lanka","Borella Junction, Colombo, Sri Lanka","18 Dr NM Perera Mawatha Rd, Colombo 00800, Sri Lanka",6.9139525,79.878481
Kollupitiya Flyover Approach,2025-04-09,22:03,Minor Injury,Motorcycle Collision,Failure to Yield,3,Motorcycle; Three Wheeler; Bicycle,26-35,0,2,High,"Kollupitiya Flyover Approach, Colombo, Sri Lanka","Kollupitiya Flyover Approach, Colombo, Sri Lanka","Kollupitiya, Colombo, Sri Lanka",6.912815399999999,79.8506815
Wellawatte Junction,2024-08-07,19:56,Fatal,Multi-vehicle Collision,Overspeeding,4,Car; Three Wheeler; Motorcycle; Bicycle,46-55,2,6,Moderate,"Wellawatte Junction, Colombo, Sri Lanka","Wellawatte Junction, Colombo, Sri Lanka","Wellawatte, Colombo 00600, Sri Lanka",6.874092099999999,79.8604934
"No. 88 Horton Place, Colombo 07",2025-08-07,13:59,Fatal,Pedestrian Collision,Overspeeding,1,Bus,18-25,1,2,High,"No. 88 Horton Place, Colombo 07, Colombo, Sri Lanka","No. 88 Horton Place, Colombo 07, Colombo, Sri Lanka","88 Horton Pl, Colombo 00700, Sri Lanka",6.911387899999999,79.87225459999999
Darley Road Cinnamon Gardens,2024-11-23,07:12,Fatal,Rear-end Collision,Unsafe Lane Change,1,Motorcycle,26-35,1,1,High,"Darley Road Cinnamon Gardens, Colombo, Sri Lanka","Darley Road Cinnamon Gardens, Colombo, Sri Lanka","Darley Rd, Colombo, Sri Lanka",6.9228616,79.8620451
Maradana Junction,2022-10-08,06:37,Minor Injury,Motorcycle Collision,Reckless Driving,1,Motorcycle,26-35,0,3,Moderate,"Maradana Junction, Colombo, Sri Lanka","Maradana Junction, Colombo, Sri Lanka","Maradana Junction, Colombo 01000, Sri Lanka",6.928874,79.8637428
Wellawatte Junction,2024-01-12,05:24,Minor Injury,Motorcycle Collision,Pedestrian Negligence,1,Motorcycle,26-35,0,1,Moderate,"Wellawatte Junction, Colombo, Sri Lanka","Wellawatte Junction, Colombo, Sri Lanka","Wellawatte, Colombo 00600, Sri Lanka",6.874092099999999,79.8604934
Bauddhaloka Mawatha Cinnamon Gardens,2025-06-21,08:30,Serious Injury,Motorcycle Collision,Pedestrian Negligence,2,Motorcycle; Car,26-35,0,6,High,"Bauddhaloka Mawatha Cinnamon Gardens, Colombo, Sri Lanka","Bauddhaloka Mawatha Cinnamon Gardens, Colombo, Sri Lanka","Bauddhaloka Mawatha, Colombo 00700, Sri Lanka",6.901932,79.8694402
Nelum Pokuna Area,2022-09-08,14:55,Fatal,Motorcycle Collision,Driver Fatigue,3,Motorcycle; Three Wheeler; Bus,36-45,1,5,Moderate,"Nelum Pokuna Area, Colombo, Sri Lanka","Nelum Pokuna Area, Colombo, Sri Lanka","110 Ananda Coomaraswamy Mawatha, Colombo 00700, Sri Lanka",6.910803199999999,79.86344670000001
Moratuwa Junction,2025-12-09,17:46,Serious Injury,Pedestrian Collision,Overspeeding,1,Motorcycle,18-25,0,2,High,"Moratuwa Junction, Colombo, Sri Lanka","Moratuwa Junction, Colombo, Sri Lanka","Moratuwa, Sri Lanka",6.7879304,79.88511419999999
Pettah Market Area,2023-10-22,13:59,Fatal,Single Vehicle Crash,Unsafe Lane Change,1,Motorcycle,26-35,1,3,High,"Pettah Market Area, Colombo, Sri Lanka","Pettah Market Area, Colombo, Sri Lanka","WVP3+VMM, Keyzer St, Colombo 01100, Sri Lanka",6.937201699999999,79.854187
Baseline Road Borella,2024-03-31,19:44,Minor Injury,Single Vehicle Crash,Unsafe Lane Change,1,Three Wheeler,18-25,0,1,Moderate,"Baseline Road Borella, Colombo, Sri Lanka","Baseline Road Borella, Colombo, Sri Lanka","Baseline Rd, Colombo, Sri Lanka",6.919902,79.8776917
Hulftsdorp Junction,2025-11-15,19:16,Minor Injury,Motorcycle Collision,Distracted Driving,1,Motorcycle,56+,0,3,Low,"Hulftsdorp Junction, Colombo, Sri Lanka","Hulftsdorp Junction, Colombo, Sri Lanka","Hultsdorf St, Colombo, Sri Lanka",6.9375553,79.8608161
Kotahena Junction,2023-07-28,14:25,Minor Injury,Motorcycle Collision,Pedestrian Negligence,2,Motorcycle; Car,56+,0,3,Low,"Kotahena Junction, Colombo, Sri Lanka","Kotahena Junction, Colombo, Sri Lanka","Kotahena St, Colombo 01300, Sri Lanka",6.9494699,79.8626776
Mattakkuliya Junction,2025-10-26,12:31,Minor Injury,Head-on Collision,Distracted Driving,1,Three Wheeler,36-45,0,1,Low,"Mattakkuliya Junction, Colombo, Sri Lanka","Mattakkuliya Junction, Colombo, Sri Lanka","Mattakkuliya Brg, Colombo, Sri Lanka",6.9805611,79.875318
Kotahena Junction,2023-11-19,20:57,Minor Injury,Multi-vehicle Collision,Poor Visibility,4,Lorry; Three Wheeler; Motorcycle; Van,56+,0,4,Moderate,"Kotahena Junction, Colombo, Sri Lanka","Kotahena Junction, Colombo, Sri Lanka","Kotahena St, Colombo 01300, Sri Lanka",6.9494699,79.8626776
Borella Junction,2024-06-13,12:33,Serious Injury,Rear-end Collision,Driver Fatigue,3,Motorcycle; Car; Lorry,18-25,0,2,High,"Borella Junction, Colombo, Sri Lanka","Borella Junction, Colombo, Sri Lanka","18 Dr NM Perera Mawatha Rd, Colombo 00800, Sri Lanka",6.9139525,79.878481
Borella Junction,2022-12-10,01:32,Minor Injury,Motorcycle Collision,Driver Fatigue,2,Motorcycle; Three Wheeler,46-55,0,2,Low,"Borella Junction, Colombo, Sri Lanka","Borella Junction, Colombo, Sri Lanka","18 Dr NM Perera Mawatha Rd, Colombo 00800, Sri Lanka",6.9139525,79.878481
High Level Road Kirulapone,2025-01-13,11:35,Minor Injury,Head-on Collision,Overspeeding,2,Motorcycle; Car,18-25,0,4,Low,"High Level Road Kirulapone, Colombo, Sri Lanka","High Level Road Kirulapone, Colombo, Sri Lanka","High Level Rd, Colombo, Sri Lanka",6.8775584,79.8793098
Slave Island Junction,2025-05-08,09:55,Minor Injury,Multi-vehicle Collision,Driver Fatigue,2,Car; Three Wheeler,26-35,0,3,High,"Slave Island Junction, Colombo, Sri Lanka","Slave Island Junction, Colombo, Sri Lanka","Kompannavidiya Flyover, Colombo, Sri Lanka",6.9266493,79.8483123
Dehiwela Junction,2023-03-23,18:53,Serious Injury,Pedestrian Collision,Overspeeding,2,Motorcycle; Lorry,36-45,0,2,High,"Dehiwela Junction, Colombo, Sri Lanka","Dehiwela Junction, Colombo, Sri Lanka","Dehiwala Junction, Galle Rd, Dehiwala-Mount Lavinia, Sri Lanka",6.851808600000001,79.8658258
Galle Road Wellawatte,2024-01-27,02:11,Minor Injury,Rear-end Collision,Driver Negligence,1,Motorcycle,26-35,0,4,Moderate,"Galle Road Wellawatte, Colombo, Sri Lanka","Galle Road Wellawatte, Colombo, Sri Lanka","Galle Rd, Colombo, Sri Lanka",6.8755051,79.861039
Maradana Junction,2024-10-26,08:55,Minor Injury,Side-impact Collision,Distracted Driving,1,Three Wheeler,46-55,0,3,High,"Maradana Junction, Colombo, Sri Lanka","Maradana Junction, Colombo, Sri Lanka","Maradana Junction, Colombo 01000, Sri Lanka",6.928874,79.8637428
Bambalapitiya Junction,2023-09-21,11:28,Minor Injury,Rear-end Collision,Drunk Driving,1,Three Wheeler,26-35,0,1,High,"Bambalapitiya Junction, Colombo, Sri Lanka","Bambalapitiya Junction, Colombo, Sri Lanka","Bambalapitiya, Colombo 00500, Sri Lanka",6.8894192,79.8575468
Borella Junction,2023-05-24,17:03,Minor Injury,Side-impact Collision,Overspeeding,1,Van,26-35,0,3,Low,"Borella Junction, Colombo, Sri Lanka","Borella Junction, Colombo, Sri Lanka","18 Dr NM Perera Mawatha Rd, Colombo 00800, Sri Lanka",6.9139525,79.878481
Messenger Street Pettah,2023-11-29,18:14,Minor Injury,Side-impact Collision,Driver Negligence,2,Three Wheeler; Van,56+,0,1,Moderate,"Messenger Street Pettah, Colombo, Sri Lanka","Messenger Street Pettah, Colombo, Sri Lanka","M. J. M. Lafeer Mawatha, Colombo, Sri Lanka",6.9411356,79.8629811
Sir Chittampalam A Gardiner Mawatha Fort,2022-04-18,09:46,Minor Injury,Motorcycle Collision,Reckless Driving,3,Motorcycle; Car; Bicycle,46-55,0,2,Low,"Sir Chittampalam A Gardiner Mawatha Fort, Colombo, Sri Lanka","Sir Chittampalam A Gardiner Mawatha Fort, Colombo, Sri Lanka","Sir Chittampalam A Gardiner Mawath, Colombo, Sri Lanka",6.9298377,79.8477933
Wellawatte Junction,2024-03-15,17:25,Minor Injury,Rear-end Collision,Reckless Driving,2,Motorcycle; Van,46-55,0,4,Low,"Wellawatte Junction, Colombo, Sri Lanka","Wellawatte Junction, Colombo, Sri Lanka","Wellawatte, Colombo 00600, Sri Lanka",6.874092099999999,79.8604934
High Level Road Kirulapone,2023-07-11,14:26,Minor Injury,Rear-end Collision,Distracted Driving,1,Van,36-45,0,3,Low,"High Level Road Kirulapone, Colombo, Sri Lanka","High Level Road Kirulapone, Colombo, Sri Lanka","High Level Rd, Colombo, Sri Lanka",6.8775584,79.8793098
Galle Road Fort,2023-08-02,08:28,Fatal,Multi-vehicle Collision,Distracted Driving,3,Motorcycle; Car; Three Wheeler,18-25,1,4,High,"Galle Road Fort, Colombo, Sri Lanka","Galle Road Fort, Colombo, Sri Lanka","Galle Buck Rd, Colombo, Sri Lanka",6.9363912,79.8415204
Justice Akbar Mawatha Slave Island,2023-05-06,10:02,Serious Injury,Multi-vehicle Collision,Driver Negligence,3,Three Wheeler; Motorcycle; Bus,56+,0,3,High,"Justice Akbar Mawatha Slave Island, Colombo, Sri Lanka","Justice Akbar Mawatha Slave Island, Colombo, Sri Lanka","Justice Akbar Mawatha, Colombo, Sri Lanka",6.9238481,79.8503668
Maradana Railway Station Area,2025-08-19,08:56,Fatal,Rear-end Collision,Reckless Driving,4,Lorry; Three Wheeler; Motorcycle; Car,18-25,2,8,Moderate,"Maradana Railway Station Area, Colombo, Sri Lanka","Maradana Railway Station Area, Colombo, Sri Lanka","Maradana Railway Station, Jayantha Weerasekara Mawatha, Colombo 01000, Sri Lanka",6.92946,79.86511000000002
"No. 14 Bloemendhal Road, Colombo 13",2024-02-26,14:44,Minor Injury,Multi-vehicle Collision,Driver Negligence,3,Three Wheeler; Motorcycle; Van,18-25,0,3,Low,"No. 14 Bloemendhal Road, Colombo 13, Colombo, Sri Lanka","No. 14 Bloemendhal Road, Colombo 13, Colombo, Sri Lanka","14 Bloemendhal Rd, Colombo 01300, Sri Lanka",6.943982,79.8641683
"No. 45 Messenger Street, Pettah, Colombo 11",2022-02-14,20:01,Minor Injury,Motorcycle Collision,Overspeeding,3,Motorcycle; Van; Bicycle,36-45,0,3,Moderate,"No. 45 Messenger Street, Pettah, Colombo 11, Colombo, Sri Lanka","No. 45 Messenger Street, Pettah, Colombo 11, Colombo, Sri Lanka","45 M. J. M. Lafeer Mawatha, Colombo, Sri Lanka",6.940548,79.8612579
Kochchikade Junction,2025-12-12,13:47,Minor Injury,Head-on Collision,Overspeeding,1,Motorcycle,18-25,0,2,High,"Kochchikade Junction, Colombo, Sri Lanka","Kochchikade Junction, Colombo, Sri Lanka","Colombo, Sri Lanka",6.9270786,79.861243
Pettah Market Area,2024-02-20,06:04,Serious Injury,Side-impact Collision,Driver Negligence,2,Car; Motorcycle,36-45,0,2,High,"Pettah Market Area, Colombo, Sri Lanka","Pettah Market Area, Colombo, Sri Lanka","WVP3+VMM, Keyzer St, Colombo 01100, Sri Lanka",6.937201699999999,79.854187
Maradana Junction,2025-07-07,13:27,Serious Injury,Pedestrian Collision,Overspeeding,2,Motorcycle; Car,26-35,0,6,Low,"Maradana Junction, Colombo, Sri Lanka","Maradana Junction, Colombo, Sri Lanka","Maradana Junction, Colombo 01000, Sri Lanka",6.928874,79.8637428
Wellawatte Junction,2024-01-26,17:52,Minor Injury,Multi-vehicle Collision,Distracted Driving,3,Car; Motorcycle; Bicycle,18-25,0,4,Low,"Wellawatte Junction, Colombo, Sri Lanka","Wellawatte Junction, Colombo, Sri Lanka","Wellawatte, Colombo 00600, Sri Lanka",6.874092099999999,79.8604934
Armour Street Junction,2022-07-30,21:49,Minor Injury,Pedestrian Collision,Driver Negligence,1,Van,26-35,0,1,Low,"Armour Street Junction, Colombo, Sri Lanka","Armour Street Junction, Colombo, Sri Lanka","Armour St, Colombo, Sri Lanka",6.9424222,79.8637618
High Level Road Kirulapone,2024-02-23,09:54,Minor Injury,Motorcycle Collision,Driver Fatigue,3,Motorcycle; Bus; Bicycle,56+,0,2,Low,"High Level Road Kirulapone, Colombo, Sri Lanka","High Level Road Kirulapone, Colombo, Sri Lanka","High Level Rd, Colombo, Sri Lanka",6.8775584,79.8793098
Borella Junction,2024-07-24,11:49,Serious Injury,Pedestrian Collision,Overspeeding,2,Motorcycle; Three Wheeler,46-55,0,5,High,"Borella Junction, Colombo, Sri Lanka","Borella Junction, Colombo, Sri Lanka","18 Dr NM Perera Mawatha Rd, Colombo 00800, Sri Lanka",6.9139525,79.878481
Sea Street Pettah,2023-06-26,20:02,Serious Injury,Multi-vehicle Collision,Overspeeding,3,Lorry; Car; Van,18-25,0,5,Low,"Sea Street Pettah, Colombo, Sri Lanka","Sea Street Pettah, Colombo, Sri Lanka","Sea St, Colombo 01300, Sri Lanka",6.9418464,79.8542501
High Level Road Kirulapone,2024-06-23,19:53,Serious Injury,Head-on Collision,Failure to Yield,2,Van; Three Wheeler,26-35,0,5,High,"High Level Road Kirulapone, Colombo, Sri Lanka","High Level Road Kirulapone, Colombo, Sri Lanka","High Level Rd, Colombo, Sri Lanka",6.8775584,79.8793098
Maradana Junction,2025-05-11,09:34,Minor Injury,Side-impact Collision,Overspeeding,2,Car; Motorcycle,18-25,0,2,Moderate,"Maradana Junction, Colombo, Sri Lanka","Maradana Junction, Colombo, Sri Lanka","Maradana Junction, Colombo 01000, Sri Lanka",6.928874,79.8637428
Darley Road Cinnamon Gardens,2025-12-21,19:44,Minor Injury,Multi-vehicle Collision,Distracted Driving,4,Motorcycle; Van; Three Wheeler; Bicycle,56+,0,4,Low,"Darley Road Cinnamon Gardens, Colombo, Sri Lanka","Darley Road Cinnamon Gardens, Colombo, Sri Lanka","Darley Rd, Colombo, Sri Lanka",6.9228616,79.8620451
"No. 12 Buller's Road, Colombo 07",2024-06-06,10:49,Minor Injury,Rear-end Collision,Distracted Driving,4,Three Wheeler; Car; Motorcycle; Van,26-35,0,1,Moderate,"No. 12 Buller's Road, Colombo 07, Colombo, Sri Lanka","No. 12 Buller's Road, Colombo 07, Colombo, Sri Lanka","12 Bauddhaloka Mawatha, Colombo 00500, Sri Lanka",6.897968,79.86082119999999
Justice Akbar Mawatha Slave Island,2025-03-07,09:47,Minor Injury,Side-impact Collision,Poor Visibility,1,Car,46-55,0,2,Moderate,"Justice Akbar Mawatha Slave Island, Colombo, Sri Lanka","Justice Akbar Mawatha Slave Island, Colombo, Sri Lanka","Justice Akbar Mawatha, Colombo, Sri Lanka",6.9238481,79.8503668
"Junction of Galle Road and Rawathawatte Road, Moratuwa",2022-01-16,09:18,Minor Injury,Motorcycle Collision,Driver Negligence,2,Motorcycle; Car,18-25,0,2,Moderate,"Junction of Galle Road and Rawathawatte Road, Moratuwa, Colombo, Sri Lanka","Junction of Galle Road and Rawathawatte Road, Moratuwa, Colombo, Sri Lanka","Rawatawatta Rd & Galle Rd, Moratuwa 10400, Sri Lanka",6.7930714,79.8871145
Havelock Road Havelock Town,2024-01-21,04:27,Serious Injury,Rear-end Collision,Failure to Yield,4,Motorcycle; Car; Bus; Bicycle,46-55,0,2,High,"Havelock Road Havelock Town, Colombo, Sri Lanka","Havelock Road Havelock Town, Colombo, Sri Lanka","Havelock Rd, Colombo 00500, Sri Lanka",6.8903417,79.8638234
Sea Street Junction,2024-05-31,21:35,Minor Injury,Rear-end Collision,Overspeeding,2,Lorry; Three Wheeler,26-35,0,3,Low,"Sea Street Junction, Colombo, Sri Lanka","Sea Street Junction, Colombo, Sri Lanka","Sea St, Colombo 01300, Sri Lanka",6.9418464,79.8542501
Pamankada Junction,2025-02-23,20:14,Serious Injury,Multi-vehicle Collision,Reckless Driving,3,Three Wheeler; Motorcycle; Car,36-45,0,2,High,"Pamankada Junction, Colombo, Sri Lanka","Pamankada Junction, Colombo, Sri Lanka","Pamankada Ln, Colombo, Sri Lanka",6.8756803,79.8676529
Bambalapitiya Junction,2025-04-14,01:40,Minor Injury,Rear-end Collision,Distracted Driving,1,Car,46-55,0,3,Low,"Bambalapitiya Junction, Colombo, Sri Lanka","Bambalapitiya Junction, Colombo, Sri Lanka","Bambalapitiya, Colombo 00500, Sri Lanka",6.8894192,79.8575468
Grandpass Road Colombo 14,2025-03-26,00:04,Fatal,Multi-vehicle Collision,Driver Negligence,3,Bus; Car; Motorcycle,26-35,2,6,High,"Grandpass Road Colombo 14, Colombo, Sri Lanka","Grandpass Road Colombo 14, Colombo, Sri Lanka","Grandpass Rd, Colombo, Sri Lanka",6.9434634,79.8691086
Sir Chittampalam A Gardiner Mawatha Fort,2025-08-17,14:57,Minor Injury,Side-impact Collision,Driver Negligence,2,Motorcycle; Three Wheeler,46-55,0,2,Low,"Sir Chittampalam A Gardiner Mawatha Fort, Colombo, Sri Lanka","Sir Chittampalam A Gardiner Mawatha Fort, Colombo, Sri Lanka","Sir Chittampalam A Gardiner Mawath, Colombo, Sri Lanka",6.9298377,79.8477933
Pettah Clock Tower Area,2025-06-05,09:46,Serious Injury,Rear-end Collision,Reckless Driving,1,Bicycle,36-45,0,4,High,"Pettah Clock Tower Area, Colombo, Sri Lanka","Pettah Clock Tower Area, Colombo, Sri Lanka","Pettah, Colombo, Sri Lanka",6.9367858,79.8525385
Galle Road Kollupitiya,2022-09-02,20:21,Minor Injury,Single Vehicle Crash,Unsafe Lane Change,1,Three Wheeler,36-45,0,4,High,"Galle Road Kollupitiya, Colombo, Sri Lanka","Galle Road Kollupitiya, Colombo, Sri Lanka","Galle Rd, Colombo, Sri Lanka",6.9037968,79.8521362
Panchikawatte,2025-02-28,04:31,Serious Injury,Motorcycle Collision,Failure to Yield,2,Motorcycle; Bicycle,26-35,0,4,High,"Panchikawatte, Colombo, Sri Lanka","Panchikawatte, Colombo, Sri Lanka","Panchikawatta, Colombo 01000, Sri Lanka",6.9309682,79.8639835
Kollupitiya Flyover Approach,2025-10-03,08:18,Minor Injury,Rear-end Collision,Driver Negligence,2,Motorcycle; Van,36-45,0,2,Low,"Kollupitiya Flyover Approach, Colombo, Sri Lanka","Kollupitiya Flyover Approach, Colombo, Sri Lanka","Kollupitiya, Colombo, Sri Lanka",6.912815399999999,79.8506815
Messenger Street Pettah,2022-03-29,21:07,Minor Injury,Motorcycle Collision,Distracted Driving,1,Motorcycle,36-45,0,1,Low,"Messenger Street Pettah, Colombo, Sri Lanka","Messenger Street Pettah, Colombo, Sri Lanka","M. J. M. Lafeer Mawatha, Colombo, Sri Lanka",6.9411356,79.8629811
Messenger Street Pettah,2023-01-12,17:25,Serious Injury,Rear-end Collision,Overspeeding,1,Three Wheeler,36-45,0,5,High,"Messenger Street Pettah, Colombo, Sri Lanka","Messenger Street Pettah, Colombo, Sri Lanka","M. J. M. Lafeer Mawatha, Colombo, Sri Lanka",6.9411356,79.8629811
Slave Island Junction,2023-10-04,08:36,Minor Injury,Single Vehicle Crash,Pedestrian Negligence,1,Three Wheeler,46-55,0,1,Low,"Slave Island Junction, Colombo, Sri Lanka","Slave Island Junction, Colombo, Sri Lanka","Kompannavidiya Flyover, Colombo, Sri Lanka",6.9266493,79.8483123
Messenger Street Pettah,2022-11-20,12:57,Minor Injury,Pedestrian Collision,Unsafe Lane Change,1,Car,26-35,0,1,Moderate,"Messenger Street Pettah, Colombo, Sri Lanka","Messenger Street Pettah, Colombo, Sri Lanka","M. J. M. Lafeer Mawatha, Colombo, Sri Lanka",6.9411356,79.8629811
"No. 34 Baseline Road, Kolonnawa",2023-01-31,19:02,Serious Injury,Side-impact Collision,Unsafe Lane Change,1,Bicycle,26-35,0,3,High,"No. 34 Baseline Road, Kolonnawa, Colombo, Sri Lanka","No. 34 Baseline Road, Kolonnawa, Colombo, Sri Lanka","34 Baseline Rd, Colombo 00800, Sri Lanka",6.9150029,79.87768919999999
Darley Road Cinnamon Gardens,2023-09-28,07:13,Minor Injury,Rear-end Collision,Reckless Driving,3,Motorcycle; Three Wheeler; Van,56+,0,2,Low,"Darley Road Cinnamon Gardens, Colombo, Sri Lanka","Darley Road Cinnamon Gardens, Colombo, Sri Lanka","Darley Rd, Colombo, Sri Lanka",6.9228616,79.8620451
